Index,Title,Rating,Review Count,User Reviews,Phone Number,Address,Locality,Country,Date Generated
204,Pemuteran Bay,4.5 ,71,{},+62 853-3745-5066,,,Indonesia,2018-07-17 14:23:46
205,Sari Api Ceramic Studio,4.5 ,40,{},+62 812-4660-919,Jalan Suweta,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
206,Kuningan Ceremony,4.5 ,28,{},,Jl. Raya Mas,Ubud ,Indonesia,2018-07-17 14:23:46
207,Puputan Garden,4.0 ,56,{},,Jl. Gajah Mada-Veteran,Denpasar ,Indonesia,2018-07-17 14:23:46
208,Abandoned Bedugul Hotel,4.5 ,25,{},,Jl. Baturiti Bedugul,Bedugul Baturiti 82191 ,Indonesia,2018-07-17 14:23:46
209,Panglipuran Temple,4.0 ,41,{},,Jl. Raya Panglipuran,,Indonesia,2018-07-17 14:23:46
210,Kuta Beach - Bali,3.5 ,"8,814",{},,,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
211,Kelan Beach,4.0 ,48,{},,Desa Kelan,Tuban Kuta 80361 ,Indonesia,2018-07-17 14:23:46
212,Bali Training Centre,5.0 ,18,{},+62 819-1627-6813,Jl. Pantai Bingin,Uluwatu 80364 ,Indonesia,2018-07-17 14:23:46
213,Bunut Bolong,4.0 ,48,{},+62 812-3872-3892,Desa Manggissari,Pekutatan 82262 ,Indonesia,2018-07-17 14:23:46
214,Circus Waterpark Bali,3.5 ,257,{},+62 361 764003,Jl. Kediri,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
215,Galungan Festival,4.5 ,25,{},,Jl. Raya Pengosekan Ubud No.63 X,Ubud ,Indonesia,2018-07-17 14:23:46
